atom_diff,reaction_class,delta_mass,count
<9H+11C+N+4O>,Others,219.05315777278005,3
<46H+24C+O>,Hydrolysis,350.35486610215,3
<30H+18C+14O>,Hydrolysis,470.16355564088,3
<3C+2O>,Others,67.98982923914,3
<8H+11C+2N>,Others,168.0687482667,3
<16H+12C+12O>,Transfer reaction,352.06417595052005,3
<36H+21C+7N+16O+3P+S>,Lytic reaction,767.1152102740699,3
<8H+15C+6O>,Hydrolysis,284.03208797526,3
<8H+2C+N+4O+P>,Lytic reaction,141.01909473897,3
<13H+9C+N+2O>,Hydrolysis,167.09462866255998,3
<3H+4C+2N-O>,Hydrolysis,63.034708485980005,3
<2H+5C+4N>,Hydrolysis,118.02794608218,3
<14H+10C+2N+2O+S>,Ligation reaction,226.07759887362,3
<36H+27C+O>,Others,376.27661577985,3
<36H+27C>,Others,360.28170116028,3
<37H+24C+3N+15O>,Others,607.2224674993499,3
<9H+6C+O-P>,Others,66.09157791122,3
<14H+10C+5N+12O+3P>,Hydrolysis,488.9851819034701,3
<8H+3C+O>,Redox reaction,60.05751487741,3
<14H+10C+5N+7O+P>,Lytic reaction,347.06308480878,3
<38H+20C>,Others,278.29735122474,3
<3H+2C+Cl>,Redox reaction,61.99232777869,3
<13H+8C+N+8O+S>,Hydrolysis,283.03618755438004,3
<8H+15C+4O>,Hydrolysis,252.04225873612,3
<8H+10C+5N-O-P>,Others,151.10929366199997,3
<-3H-7C-N+5O+2P>,Others,40.895547993569984,3
<-2O+2Cl>,Others,37.94787612486,3
<8H+6C+3N>,Transfer reaction,122.07182227113,3
<-4H-7C+5O+2P>,Transfer reaction,53.89079696577,3
<14H+7C+O>,Others,114.10446507079,3
<8H+5C-O>,Redox reaction,52.06768563827001,3
<32H+22C+O>,Transfer reaction,312.24531565093,3
<33H+21C+7N+12O+2P+S>,Transfer reaction,669.13831470068,3
<34H+17C-O>,Lytic reaction,222.27113647625,3
<9H+8C+N-O>,Hydrolysis,103.07858467493,3
<2H+7O+2P>,Redox reaction,175.92757639829,3
<8H+11C+4O>,Lytic reaction,204.04225873612,3
<8H+5C+2O>,Others,100.05242949698,3
<14H+6C+2N+O>,Redox reaction,130.11061307965,3
<-H+3C+N-2O>,Lytic reaction,17.005419733059995,3
<9H+6C+N+3O>,Redox reaction,143.05824315321,3
<3H+3C+N+O>,Hydrolysis,69.02146372069,3
<8H+3C+N>,Transfer reaction,58.06567426227,3
<52H+32C+7N+19O+P>,Transfer reaction,869.3055594772198,3
<24H+42C+24O>,Others,912.0657516432,3
<21H+19C+7N+5O>,Ligation reaction,427.16041680569,3
<-2H+3O>,Others,45.96909379425001,3
<10H+5C+2N+2O>,Others,130.0742275703,3
<10H+5C+10O+2P>,Lytic reaction,291.97492051484,3
<5H+3C+5O+P>,Transfer reaction,151.98746025742,3
<10H+4C+2N-O>,Hydrolysis,70.08948371159,3
<10H+3C+N>,Lytic reaction,60.08132432673,3
<5H+2C+N+2O+S>,Hydrolysis,107.00409957912,3
<22H+14C+O>,Others,206.16706532863,3
<22H+15C+O>,Redox reaction,218.16706532863,3
<56H+34C+2N+24O>,Others,876.32230068342,3
<H+C-N+O>,Others,14.99966564737,3
<50H+26C+O>,Others,378.3861662310701,3
<4O>,Redox reaction,63.97965847828,3
<72H+45C>,Transfer reaction,612.56340232056,3
<H+C-N+2O>,Others,30.99458026694,3
<12H+10C>,Others,132.09390038676,3
<4H+N+3O+P>,Lytic reaction,96.99287999048,3
<7H+2C+N-O>,Redox reaction,29.06293461047,3
<6H+6C+5O>,Hydrolysis,158.02152329122998,3
<6H+6C+4N+O>,Redox reaction,150.05416083067,3
<6H+6C+2O>,Hydrolysis,110.03677943252,3
<20H+13C-O>,Redox reaction,160.16158602502998,3
<6H+10C+2N>,Others,154.05309820224,3
<64H+41C+14O>,Others,780.4296067367001,3
<64H+40C+8N+21O>,Others,992.41860110913,3
<5O+2P>,Hydrolysis,141.92209709469,3
<10H+8C+2N+2O+S>,Transfer reaction,198.0462987447,3
<18H+22C+2N+4O>,Hydrolysis,374.12665706728,3
<20H+12C+8O>,Hydrolysis,292.11581760116,3
<H-C+2O+P>,Redox reaction,51.97141626979,3
<20H+17C+3O>,Others,272.14124450331,3
<11H+6C+N+3O>,Others,145.07389321767,3
<10H+7C+4O>,Transfer reaction,158.05790880057998,3
<6H+4C+4O>,Lytic reaction,118.02660867166,3
<5H+6C+3N>,Others,119.04834717444,3
<20H+35C+20O>,Others,760.054793036,3
<5H+5O+P>,Lytic reaction,115.98746025742,3
<11H+6C+3N+2O>,Hydrolysis,157.08512660696,3
<5H+5C+N>,Others,79.04219916558,3
<10H+6C+6O>,Others,178.04773803972,3
<24H+16C+2O>,Transfer reaction,248.17763001266,3
<28H+18C+O>,Hydrolysis,260.21401552201,3
<10H+10C+2O>,Redox reaction,162.06807956144,3
<7H+5C+N+2O>,Others,113.04767846918,3
<10H+10C+2N-O>,Lytic reaction,142.08948371159,3
<10H+10C+2N+2O>,Hydrolysis,190.0742275703,3
<12H+5C+4N-O>,Hydrolysis,112.11128178491,3
<12H+5C+2N+O>,Redox reaction,116.09496301519,3
<4H+4C+O>,Ligation reaction,68.02621474849,3
<107H+53C+5O+P>,Others,854.78561354488,3
<26H+26C+14O>,Others,562.13225551196,3
<28H+15C+O>,Transfer reaction,224.21401552201,3
<28H+16C+3O>,Others,268.20384476115,3
<7H+5C+O-P>,Others,52.07592784676,3
<7H+6C+N+O>,Transfer reaction,109.05276384961,3
<H+5C+4N-3O-P>,Others,38.06161519282,3
<7H+7C+Cl>,Redox reaction,126.02362790761,3
<4H+5C+4N+O>,Redox reaction,136.03851076621,3
<7H+7C+N+2O>,Lytic reaction,137.04767846918,3
<7H+3C+N+O>,Redox reaction,73.05276384961,3
<7H+4C+N+3O>,Redox reaction,117.04259308875,3
<4H+2C+3O>,Lytic reaction,76.01604398763001,3
<7H+3C+N-O>,Hydrolysis,41.06293461047,3
<20H+11C>,Others,152.1565006446,2
<20H+11C+2N+O>,Others,196.15756327303,2
<9H+11C+N+3O>,Others,203.05824315321,2
<28H+15C+2O>,Others,240.20893014158,2
<28H+20C-O>,Redox reaction,252.22418628287,2
<9H+10C+N+5O>,Others,223.04807239235,2
<H-C+O+P>,Lytic reaction,35.97650165022,2
<9H+5C+N>,Others,83.07349929450001,2
<2N>,Others,28.00614800886,2
<9H+6C+N+2O>,Hydrolysis,127.06332853364,2
<19H+7C+3N-O>,Redox reaction,129.16298300608997,2
<19H+18C+N+3O>,Redox reaction,297.13649347551,2
<2H+6C+2O+2Br>,Others,263.8421545036,2
<2H+6C+2N+4O>,Hydrolysis,166.0014565516,2
<28H+20C>,Redox reaction,268.21910090244,2
<20H+19C+3N+11O+P>,Ligation reaction,497.08354547158,2
<2H+C+2N-O>,Others,26.02688345375,2
<20H+11C+O>,Others,168.15141526417,2
<28H+17C-O>,Others,216.22418628287,2
<28H+17C+2N+12O+S>,Redox reaction,484.1362955205401,2
<2H+N+2O+P>,Others,78.98231530645,2
<20H+12C+3O>,Others,212.14124450331,2
<29H+16C+O>,Others,237.22184055424,2
<28H+17C+14O>,Others,456.14790557642,2
<20H+12C>,Lytic reaction,164.1565006446,2
<29H+18C+5N+8O>,Others,443.20161291338,2
<9H+6C+N+4O>,Transfer reaction,159.05315777278005,2
<9H+5C+N+2O+S>,Others,147.03539970804002,2
<9H+5C+N+2O>,Redox reaction,115.06332853364,2
<2H+S>,Lytic reaction,33.98772123886,2
<20H+14C+2O>,Transfer reaction,220.14632988374,2
<9H+5C+N+3O+S>,Others,163.03031432761003,2
<2H-N+4O+P>,Transfer reaction,82.96599653673,2
<21H+11C+2N+6O+P+S>,Hydrolysis,340.08579457593004,2
<9H+9C+N+3O>,Others,179.05824315321,2
<21H+14C+6N+13O+3P+S>,Transfer reaction,606.0100169274799,2
<2H+5C+5N-3O-P>,Others,53.07251422947999,2
<H+3C+2N+3O+P>,Transfer reaction,143.97247889822,2
<H+Br>,Others,79.92616263223,2
<2H+4C+3N-3O-P>,Others,13.066366220619988,2
<2H+4C+2O>,Hydrolysis,82.0054793036,2
<26H+16C+5N+13O+3P+S>,Transfer reaction,621.0460680841999,2
<26H+16C+2N+8O>,Others,374.1689158034,2
<2H+4C+2N+O>,Hydrolysis,94.01671269289,2
<24H+12C+2O>,Transfer reaction,200.17763001266,2
<24H+14C+7N+10O+3P+S>,Transfer reaction,575.0518221698899,2
<H+C+2O+Cl>,Isomerazation,79.96650695337,2
<2H+2N-O>,Hydrolysis,14.02688345375,2
